item1,item2,value1,value2,value3,value4,value5,value6,value7
101年 9月,臺中市,94.67,0.0,54.4,3.24,0.4,15.26,80.22
101年 9月,臺南市,99.71,0.0,66.2,3.5,0.32,11.33,77.03
101年 9月,高雄市,84.67,0.0,59.8,4.7,0.38,13.96,79.01
101年 9月,宜蘭縣,59.99,0.0,36.1,2.0,0.26,7.3,42.2
101年 9月,新竹縣,46.11,0.0,46.8,3.1,0.32,11.45,73.9
101年 9月,苗栗縣,47.66,0.0,43.5,2.55,0.31,10.4,75.1
101年 9月,彰化縣,53.28,0.0,57.6,4.0,0.33,13.0,73.85
102年,澎湖縣,48.53,0.0,47.1,2.3,0.26,4.3,53.8
101年 9月,南投縣,69.24,0.0,49.3,2.55,0.35,11.8,84.75
101年 9月,雲林縣,87.72,0.0,70.9,3.0,0.31,10.15,82.35
101年 9月,嘉義縣,88.38,0.0,73.8,3.1,0.29,9.75,74.8
101年 9月,嘉義市,57.41,0.0,66.4,3.5,0.39,11.7,79.0
101年 9月,金門縣,0.0,0.0,66.8,6.1,0.3,9.8,73.4
101年 9月,連江縣,0.0,0.0,38.4,2.7,0.21,3.0,69.3
101年 10月,新北市,57.82,0.0,44.8,2.4,0.37,13.19,56.68
101年 10月,臺北市,39.33,0.0,45.2,2.0,0.47,18.78,52.84
101年 10月,桃園市,42.14,0.0,51.1,4.53,0.38,15.13,60.58
101年 10月,臺中市,94.67,0.0,64.3,2.88,0.44,16.56,81.7
101年 10月,臺南市,131.33,0.0,88.0,3.8,0.4,15.65,88.75
101年 10月,高雄市,112.18,0.0,84.4,5.23,0.46,17.6,92.04
101年 10月,宜蘭縣,60.74,0.0,41.1,1.7,0.29,7.95,48.35
101年 10月,新竹縣,56.96,0.0,46.1,3.1,0.31,10.55,71.85
101年 10月,苗栗縣,24.41,0.0,49.2,2.7,0.35,11.7,70.95
101年 10月,彰化縣,57.8,0.0,67.5,3.85,0.4,14.0,77.3
101年 10月,南投縣,101.66,0.0,68.0,3.0,0.45,16.75,94.0
101年 10月,雲林縣,109.24,0.0,76.1,3.5,0.38,13.05,86.45
101年 10月,嘉義縣,125.08,0.0,92.5,3.1,0.34,11.25,88.35
101年 10月,屏東縣,85.08,0.0,67.4,2.63,0.35,7.93,82.57
101年 10月,臺東縣,0.0,0.0,43.2,1.1,0.31,5.4,47.0
101年 10月,花蓮縣,75.03,0.0,36.4,1.3,0.37,10.1,49.9
101年 10月,澎湖縣,67.82,0.0,50.1,1.6,0.22,2.4,69.0
101年 10月,基隆市,108.93,0.0,34.4,1.5,0.3,8.1,57.2
101年 10月,新竹市,42.63,0.0,54.2,3.3,0.4,15.1,67.7
101年 10月,嘉義市,105.95,0.0,87.4,4.2,0.47,17.1,90.2
101年 10月,金門縣,0.0,0.0,92.0,7.6,0.37,10.9,82.2
101年 10月,連江縣,0.0,0.0,58.7,3.1,0.27,4.2,81.5
101年 11月,新北市,64.5,0.0,46.1,3.44,0.53,17.39,48.81
101年 11月,臺北市,47.69,0.0,48.3,2.8,0.64,22.88,45.62
101年 11月,桃園市,58.63,0.0,53.4,5.3,0.51,18.45,48.78
101年 11月,臺中市,95.55,0.0,63.8,3.24,0.65,22.52,62.06
101年 11月,臺南市,104.02,0.0,85.0,3.98,0.54,19.2,71.73
101年 11月,高雄市,110.68,0.0,80.6,5.78,0.59,21.43,75.54
101年 11月,宜蘭縣,54.69,0.0,42.6,2.1,0.43,11.4,38.9
101年 11月,新竹縣,73.6,0.0,43.8,2.85,0.42,13.3,54.7
101年 11月,苗栗縣,37.84,0.0,46.8,2.8,0.47,15.75,54.9
101年 11月,彰化縣,57.0,0.0,67.2,3.8,0.55,18.2,60.25
101年 11月,南投縣,79.48,0.0,61.1,2.8,0.61,19.55,67.6
101年 11月,雲林縣,84.96,0.0,70.7,3.6,0.54,17.15,63.05
101年 11月,嘉義縣,87.76,0.0,86.9,3.45,0.51,16.25,64.45
101年 11月,屏東縣,130.84,0.0,60.2,2.77,0.43,9.6,70.77
101年 11月,臺東縣,0.0,0.0,35.2,1.2,0.42,6.9,44.0
101年 11月,花蓮縣,55.99,0.0,34.2,1.5,0.57,13.7,40.5
101年 11月,澎湖縣,68.64,0.0,48.3,1.9,0.31,4.1,55.9
101年 11月,基隆市,75.96,0.0,35.5,2.1,0.46,12.7,49.8
101年 11月,新竹市,31.65,0.0,50.4,3.3,0.55,19.1,52.5
101年 11月,嘉義市,129.84,0.0,85.8,3.6,0.65,21.5,66.5
101年 11月,金門縣,0.0,0.0,93.2,7.5,0.51,14.5,56.6
101年 11月,連江縣,0.0,0.0,60.6,4.0,0.4,7.1,67.1
101年 12月,新北市,59.07,0.0,38.7,3.02,0.51,16.32,40.41
101年 12月,臺北市,47.54,0.0,39.6,2.66,0.62,21.88,37.06
101年 12月,桃園市,53.16,0.0,45.8,4.35,0.51,17.98,41.83
101年 12月,臺中市,81.2,0.0,53.7,2.86,0.63,21.5,49.34
101年 12月,臺南市,88.91,0.0,75.1,3.6,0.5,18.43,60.15
101年 12月,高雄市,103.18,0.0,76.0,6.14,0.6,23.79,66.74
101年 12月,宜蘭縣,26.96,0.0,33.9,1.95,0.43,11.6,33.65
101年 12月,新竹縣,66.15,0.0,37.8,2.9,0.43,14.2,46.7
101年 12月,苗栗縣,51.82,0.0,39.9,2.8,0.47,15.55,41.85
101年 12月,彰化縣,58.22,0.0,55.5,3.65,0.53,17.4,46.0
101年 12月,南投縣,78.41,0.0,58.1,2.7,0.6,19.85,54.1
101年 12月,雲林縣,87.47,0.0,67.0,3.5,0.51,17.25,51.55
101年 12月,嘉義縣,79.66,0.0,81.9,3.25,0.46,14.7,54.25
101年 12月,屏東縣,88.58,0.0,60.7,2.57,0.45,11.0,61.97
101年 12月,臺東縣,0.0,0.0,26.4,1.2,0.4,7.0,38.2
101年 12月,花蓮縣,49.99,0.0,25.9,1.6,0.53,13.1,39.2
101年 12月,澎湖縣,69.74,0.0,49.9,1.8,0.35,4.6,50.4
101年 12月,基隆市,28.34,0.0,29.9,2.2,0.44,10.9,42.5
101年 12月,新竹市,42.99,0.0,44.0,3.3,0.54,19.4,43.7
101年 12月,嘉義市,81.62,0.0,84.2,4.1,0.62,21.6,55.0
101年 12月,金門縣,0.0,0.0,86.9,7.9,0.53,16.2,40.7
101年 12月,連江縣,0.0,0.0,53.0,4.3,0.41,9.7,47.0
102年,新北市,57.13,0.0,41.8,3.39,0.46,16.12,54.51
102年,臺北市,49.04,0.0,45.3,2.98,0.57,21.46,49.48
102年,桃園市,57.4,0.0,50.4,4.45,0.42,16.2,54.8
102年,臺中市,78.52,0.0,51.7,3.16,0.44,15.84,60.58
102年,臺南市,76.67,0.0,73.4,3.58,0.39,14.0,63.03
102年,高雄市,79.8,0.0,66.4,5.23,0.45,17.39,65.74
102年,宜蘭縣,41.69,0.0,34.4,2.2,0.32,8.5,44.15
102年,新竹縣,53.29,0.0,40.7,3.0,0.33,11.35,57.25
102年,苗栗縣,48.47,0.0,45.0,2.55,0.35,11.85,55.85
102年,彰化縣,56.68,0.0,60.1,3.7,0.39,13.3,57.2
102年,南投縣,62.83,0.0,57.3,2.55,0.42,14.3,68.95
102年,雲林縣,84.92,0.0,63.8,3.3,0.37,12.25,62.05
102年,嘉義縣,60.72,0.0,74.8,3.1,0.35,10.95,60.25
102年,屏東縣,88.66,0.0,54.6,2.53,0.34,8.3,63.1
102年,臺東縣,0.0,0.0,31.1,1.3,0.35,5.6,40.6
102年,花蓮縣,39.61,0.0,28.1,1.6,0.4,9.6,40.0
102年,基隆市,60.04,0.0,29.5,2.5,0.38,11.6,51.9
102年,新竹市,63.78,0.0,45.1,3.0,0.42,15.4,55.4
102年,嘉義市,74.57,0.0,68.4,3.4,0.46,14.8,62.3
102年,金門縣,0.0,0.0,73.5,5.8,0.36,11.8,58.0
102年,連江縣,0.0,0.0,57.4,3.8,0.31,6.2,63.4
102年 1月,新北市,47.77,0.0,41.5,3.19,0.54,17.9,43.03
102年 1月,臺北市,42.8,0.0,43.1,2.72,0.66,23.74,39.16
102年 1月,桃園市,38.9,0.0,51.3,4.7,0.52,18.3,44.38
102年 1月,臺中市,103.53,0.0,57.2,2.68,0.59,20.35,47.45
102年 1月,臺南市,107.92,0.0,88.1,3.35,0.52,17.95,57.38
102年 1月,高雄市,101.03,0.0,90.3,5.8,0.63,25.54,64.91
102年 1月,宜蘭縣,29.3,0.0,34.8,1.95,0.41,10.4,38.4
102年 1月,新竹縣,56.79,0.0,42.7,2.95,0.44,13.35,48.0
102年 1月,苗栗縣,81.8,0.0,45.9,2.6,0.48,15.55,43.4
102年 1月,彰化縣,59.79,0.0,65.6,3.55,0.52,16.9,43.9
102年 1月,南投縣,55.69,0.0,62.3,2.7,0.59,20.2,60.8
102年 1月,雲林縣,80.66,0.0,75.4,3.35,0.51,16.1,53.6
102年 1月,嘉義縣,80.81,0.0,93.4,3.1,0.45,13.1,52.65
102年 1月,屏東縣,94.69,0.0,68.3,2.47,0.46,11.8,63.03
102年 1月,臺東縣,0.0,0.0,28.7,1.2,0.42,7.0,43.5
102年 1月,花蓮縣,38.9,0.0,26.1,1.5,0.53,12.7,41.9
102年 1月,澎湖縣,0.0,0.0,56.6,3.0,0.38,5.3,50.9
102年 1月,基隆市,82.59,0.0,29.1,2.3,0.45,12.2,44.2
102年 1月,新竹市,26.5,0.0,50.6,3.3,0.53,17.8,45.6
102年 1月,嘉義市,73.8,0.0,83.4,4.3,0.63,21.0,54.0
102年 1月,金門縣,0.0,0.0,98.4,8.0,0.59,18.4,47.2
102年 1月,連江縣,0.0,0.0,68.3,4.4,0.49,10.2,51.7
102年 2月,新北市,69.85,0.0,40.4,3.14,0.54,17.6,46.33
102年 2月,臺北市,41.92,0.0,46.1,2.84,0.68,24.34,43.04
102年 2月,桃園市,46.29,0.0,53.7,3.68,0.49,16.85,47.38
102年 2月,臺中市,90.18,0.0,61.6,2.3,0.52,17.6,53.15
102年 2月,臺南市,110.69,0.0,94.4,2.95,0.47,15.08,65.3
102年 2月,高雄市,113.74,0.0,90.8,5.08,0.54,20.45,77.66
102年 2月,宜蘭縣,32.29,0.0,28.1,1.55,0.36,8.75,41.2
102年 2月,新竹縣,63.53,0.0,46.6,2.2,0.4,12.3,49.25
102年 2月,苗栗縣,45.38,0.0,51.2,2.25,0.42,13.75,46.35
102年 2月,彰化縣,57.44,0.0,72.5,3.15,0.46,14.15,49.65
102年 2月,南投縣,71.74,0.0,70.4,2.35,0.49,16.6,68.0
102年 2月,雲林縣,125.73,0.0,80.5,2.85,0.44,13.6,59.7
102年 2月,嘉義縣,73.76,0.0,97.5,2.65,0.41,11.3,56.45
102年 2月,屏東縣,166.1,0.0,70.7,2.6,0.4,9.5,72.87
102年 2月,臺東縣,0.0,0.0,26.9,1.2,0.36,5.8,43.1
102年 2月,花蓮縣,35.14,0.0,21.5,1.0,0.41,9.2,43.6
102年 2月,澎湖縣,0.0,0.0,52.5,2.5,0.34,4.2,52.6
102年 2月,基隆市,91.28,0.0,26.4,2.7,0.48,14.2,43.9
102年 2月,新竹市,45.41,0.0,55.1,2.6,0.5,15.4,48.7
102年 2月,嘉義市,109.02,0.0,89.1,3.2,0.55,16.6,58.7
102年 2月,金門縣,0.0,0.0,68.2,3.6,0.5,12.3,48.5
102年 2月,連江縣,0.0,0.0,50.0,2.2,0.42,6.2,56.0
102年 3月,新北市,77.54,0.0,55.5,3.56,0.55,19.36,59.96
102年 3月,臺北市,85.92,0.0,57.9,2.96,0.67,25.46,54.94
102年 3月,桃園市,76.06,0.0,61.3,4.58,0.48,18.9,56.0
102年 3月,臺中市,107.6,0.0,70.1,2.93,0.49,19.08,66.6
102年 3月,臺南市,92.21,0.0,89.8,3.6,0.44,15.5,67.15
102年 3月,高雄市,92.57,0.0,79.6,5.58,0.5,20.13,73.53
102年 3月,宜蘭縣,72.1,0.0,42.2,1.65,0.36,9.1,48.0
102年 3月,新竹縣,80.58,0.0,53.0,2.65,0.37,13.1,59.2
102年 3月,苗栗縣,61.73,0.0,57.3,2.55,0.4,13.2,59.25
102年 3月,彰化縣,59.64,0.0,76.4,3.6,0.42,14.8,65.4
102年 3月,南投縣,73.69,0.0,75.8,2.8,0.45,16.55,73.7
102年 3月,雲林縣,118.89,0.0,78.3,3.4,0.41,14.3,66.7
102年 3月,嘉義縣,87.76,0.0,87.7,3.45,0.39,12.55,64.85
102年 3月,屏東縣,113.36,0.0,65.4,2.67,0.39,9.93,68.6
102年 3月,臺東縣,0.0,0.0,36.7,1.1,0.39,5.9,49.9
102年 3月,花蓮縣,51.42,0.0,35.0,1.4,0.45,10.5,51.1
102年 3月,澎湖縣,0.0,0.0,56.4,2.8,0.27,3.9,58.0
102年 3月,基隆市,114.73,0.0,39.1,2.7,0.5,15.8,53.8
102年 3月,新竹市,61.56,0.0,60.7,2.5,0.49,17.7,57.5
102年 3月,嘉義市,83.04,0.0,83.5,3.6,0.49,15.1,65.5
102年 3月,金門縣,0.0,0.0,92.8,6.1,0.42,14.6,60.1
102年 3月,連江縣,0.0,0.0,70.8,3.4,0.38,7.4,73.9
102年 4月,新北市,73.07,0.0,51.0,3.22,0.6,19.73,64.79
102年 4月,臺北市,66.29,0.0,54.0,2.62,0.74,26.68,56.52
102年 4月,桃園市,90.46,0.0,61.0,4.53,0.56,19.95,63.38
102年 4月,臺中市,84.48,0.0,60.2,2.88,0.6,21.75,60.65
102年 4月,臺南市,73.45,0.0,75.2,3.3,0.5,16.18,64.8
102年 4月,高雄市,87.86,0.0,62.8,5.36,0.53,18.98,71.09
102年 4月,宜蘭縣,46.5,0.0,41.2,1.75,0.42,10.75,49.1
102年 4月,新竹縣,81.39,0.0,50.8,2.95,0.46,14.75,65.6
102年 4月,苗栗縣,47.24,0.0,49.1,2.3,0.46,13.85,61.2
102年 4月,彰化縣,66.98,0.0,65.9,3.45,0.49,15.7,61.75
102年 4月,南投縣,66.75,0.0,58.5,2.4,0.53,16.75,60.4
102年 4月,雲林縣,69.85,0.0,63.5,3.1,0.48,14.05,59.95
102年 4月,嘉義縣,66.81,0.0,74.1,3.05,0.46,12.4,62.95
102年 4月,屏東縣,96.84,0.0,54.6,2.67,0.41,9.7,67.1
102年 4月,臺東縣,0.0,0.0,32.3,1.2,0.43,6.5,53.7
102年 4月,花蓮縣,40.84,0.0,35.5,1.3,0.51,11.9,53.8
102年 4月,澎湖縣,0.0,0.0,55.2,3.0,0.35,5.1,66.1
102年 4月,基隆市,103.69,0.0,36.6,2.4,0.51,15.2,64.2
102年 4月,新竹市,66.83,0.0,55.0,2.7,0.57,19.2,66.6
102年 4月,嘉義市,68.12,0.0,71.8,3.6,0.56,15.9,61.0
102年 4月,金門縣,0.0,0.0,95.4,6.9,0.49,15.5,66.6
102年 4月,連江縣,0.0,0.0,79.1,4.0,0.43,8.0,82.2
102年 5月,新北市,48.54,0.0,31.9,3.38,0.51,17.93,56.56
102年 5月,臺北市,46.58,0.0,34.7,2.84,0.62,22.82,51.18
102年 5月,桃園市,55.42,0.0,43.4,4.63,0.46,17.35,57.48
102年 5月,臺中市,74.99,0.0,42.6,3.32,0.41,15.38,57.44
102年 5月,臺南市,54.0,0.0,48.6,3.25,0.31,11.05,50.48
102年 5月,高雄市,59.19,0.0,40.3,4.65,0.33,12.95,49.91
102年 5月,宜蘭縣,49.93,0.0,26.9,2.15,0.32,8.5,45.65
102年 5月,新竹縣,41.56,0.0,32.2,2.8,0.34,12.05,59.15
102年 5月,苗栗縣,31.51,0.0,37.1,2.2,0.32,10.95,57.4
102年 5月,彰化縣,37.52,0.0,45.3,3.15,0.31,11.15,53.85
102年 5月,南投縣,37.06,0.0,35.1,2.05,0.31,10.3,58.6
102年 5月,雲林縣,76.99,0.0,40.9,2.65,0.29,9.3,52.1
102年 5月,嘉義縣,39.27,0.0,46.7,2.25,0.28,8.8,51.2
102年 5月,屏東縣,62.65,0.0,39.3,2.75,0.32,9.55,53.25
102年 5月,臺東縣,0.0,0.0,24.9,1.1,0.34,5.8,37.1
102年 5月,花蓮縣,20.17,0.0,22.7,1.3,0.4,10.0,39.6
102年 5月,澎湖縣,0.0,0.0,34.2,1.4,0.23,5.1,48.3
102年 5月,基隆市,45.78,0.0,22.2,2.5,0.39,12.8,53.0
102年 5月,新竹市,71.3,0.0,31.8,2.7,0.44,15.5,58.3
102年 5月,嘉義市,44.7,0.0,42.8,2.4,0.31,9.2,53.1
102年 5月,金門縣,0.0,0.0,52.5,5.5,0.27,10.3,54.8
102年 5月,連江縣,0.0,0.0,41.2,3.0,0.27,5.3,62.1
102年 6月,新北市,44.05,0.0,36.8,4.36,0.43,16.11,65.77
102年 6月,臺北市,45.87,0.0,41.7,4.06,0.56,20.92,60.08
102年 6月,桃園市,64.4,0.0,45.9,4.73,0.37,14.98,60.25
102年 6月,臺中市,61.89,0.0,44.0,3.46,0.36,12.82,58.44
102年 6月,臺南市,63.84,0.0,49.6,3.1,0.29,9.83,50.73
102年 6月,高雄市,63.22,0.0,41.5,4.26,0.3,10.49,52.89
102年 6月,宜蘭縣,40.73,0.0,32.2,2.8,0.28,7.45,48.45
102年 6月,新竹縣,40.41,0.0,33.7,2.7,0.26,9.6,61.45
102年 6月,苗栗縣,48.29,0.0,41.4,2.45,0.27,9.45,58.8
102年 6月,彰化縣,55.48,0.0,50.7,3.4,0.29,10.05,52.85
102年 6月,南投縣,51.72,0.0,35.1,2.15,0.27,8.45,65.65
102年 6月,雲林縣,83.52,0.0,44.7,2.75,0.28,8.45,53.75
102年 6月,嘉義縣,43.85,0.0,54.2,2.4,0.27,7.95,48.2
102年 6月,屏東縣,67.92,0.0,36.0,2.13,0.23,5.6,49.57
102年 6月,臺東縣,0.0,0.0,25.8,1.0,0.3,4.9,33.9
102年 6月,花蓮縣,39.03,0.0,24.7,1.4,0.31,7.2,35.1
102年 6月,澎湖縣,55.1,0.0,34.2,2.4,0.25,4.9,41.8
102年 6月,基隆市,74.25,0.0,25.9,3.1,0.36,12.2,62.0
102年 6月,新竹市,58.26,0.0,34.0,2.6,0.38,13.2,54.5
102年 6月,嘉義市,66.5,0.0,46.4,2.7,0.31,8.6,56.6
102年 6月,金門縣,0.0,0.0,38.1,3.5,0.24,7.3,52.9
102年 6月,連江縣,0.0,0.0,39.0,3.2,0.22,4.8,61.0
102年 7月,新北市,50.85,0.0,31.4,3.93,0.37,14.92,65.74
102年 7月,臺北市,51.68,0.0,36.5,3.06,0.5,18.56,64.82
102年 7月,桃園市,54.03,0.0,39.5,4.48,0.3,13.28,60.6
102年 7月,臺中市,69.38,0.0,34.0,3.22,0.3,11.54,61.02
102年 7月,臺南市,33.16,0.0,38.2,3.5,0.24,9.3,59.4
102年 7月,高雄市,51.4,0.0,34.3,4.71,0.26,10.74,48.93
102年 7月,宜蘭縣,39.03,0.0,28.2,2.85,0.21,6.75,39.2
102年 7月,新竹縣,34.06,0.0,27.1,2.65,0.2,8.3,60.45
102年 7月,苗栗縣,40.46,0.0,32.4,2.25,0.21,8.05,56.3
102年 7月,彰化縣,52.35,0.0,40.0,3.4,0.23,8.4,53.9
102年 7月,南投縣,41.09,0.0,30.9,2.25,0.25,7.75,71.85
102年 7月,雲林縣,74.61,0.0,33.9,2.85,0.21,7.4,60.25
102年 7月,嘉義縣,39.67,0.0,40.0,3.0,0.23,8.6,54.25
102年 7月,屏東縣,69.28,0.0,30.8,1.9,0.19,5.13,45.47
102年 7月,臺東縣,0.0,0.0,21.8,1.1,0.24,4.5,23.3
102年 7月,花蓮縣,28.3,0.0,20.1,1.4,0.25,5.1,23.9
102年 7月,澎湖縣,27.02,0.0,24.8,2.2,0.16,4.4,41.5
102年 7月,基隆市,26.69,0.0,19.4,2.9,0.27,10.7,53.7
102年 7月,新竹市,51.53,0.0,29.9,2.6,0.32,11.8,52.9
102年 7月,嘉義市,52.53,0.0,34.7,2.5,0.28,8.4,63.7
102年 7月,連江縣,0.0,0.0,31.8,3.6,0.13,4.5,49.8
102年 8月,新北市,40.15,0.0,28.3,4.0,0.37,14.33,58.09
102年 8月,臺北市,30.9,0.0,33.6,3.18,0.5,18.72,52.82
102年 8月,桃園市,47.94,0.0,37.0,4.45,0.34,14.25,58.55
102年 8月,臺中市,64.32,0.0,32.6,3.32,0.31,11.88,57.42
102年 8月,臺南市,41.86,0.0,36.0,3.03,0.24,8.63,49.05
102年 8月,高雄市,47.51,0.0,32.1,4.69,0.27,10.76,47.46
102年 8月,宜蘭縣,46.62,0.0,25.2,2.15,0.22,6.65,40.45
102年 8月,新竹縣,40.92,0.0,26.8,2.9,0.23,9.25,59.95
102年 8月,苗栗縣,24.77,0.0,30.7,2.45,0.24,8.7,55.45
102年 8月,彰化縣,42.32,0.0,35.5,3.4,0.22,8.25,52.75
102年 8月,南投縣,48.27,0.0,35.3,2.2,0.25,8.15,63.5
102年 8月,雲林縣,51.62,0.0,30.6,2.7,0.21,7.2,56.6
102年 8月,嘉義縣,31.58,0.0,37.8,2.65,0.23,8.4,50.75
102年 8月,屏東縣,37.24,0.0,29.7,1.83,0.21,5.23,46.57
102年 8月,臺東縣,0.0,0.0,24.8,1.2,0.31,5.1,28.1
102年 8月,花蓮縣,47.87,0.0,20.4,1.5,0.27,6.2,25.4
102年 8月,澎湖縣,32.6,0.0,29.0,1.8,0.16,4.0,43.1
102年 8月,基隆市,50.15,0.0,18.8,2.7,0.28,10.8,50.0
102年 8月,新竹市,52.94,0.0,27.5,2.5,0.34,13.2,50.5
102年 8月,嘉義市,43.04,0.0,31.8,2.2,0.27,8.0,54.8
102年 8月,金門縣,0.0,0.0,45.3,4.8,0.2,9.4,58.7
102年 8月,連江縣,0.0,0.0,39.9,3.3,0.17,5.2,57.6
102年 9月,新北市,53.83,0.0,32.9,2.27,0.29,9.86,42.93
102年 9月,臺北市,33.83,0.0,34.7,2.2,0.35,13.66,36.14
102年 9月,桃園市,55.1,0.0,39.8,3.4,0.31,12.53,55.18
102年 9月,臺中市,82.3,0.0,53.6,2.98,0.4,14.72,83.06
102年 9月,臺南市,55.0,0.0,61.5,3.6,0.35,11.0,79.35
102年 9月,高雄市,70.57,0.0,53.9,4.56,0.36,12.21,78.76
102年 9月,宜蘭縣,36.51,0.0,32.4,2.3,0.23,6.0,41.45
102年 9月,新竹縣,51.19,0.0,35.8,3.15,0.25,8.8,62.95
102年 9月,苗栗縣,57.66,0.0,44.5,2.35,0.3,10.35,71.5
102年 9月,彰化縣,66.35,0.0,60.0,4.0,0.37,12.65,76.9
102年 9月,南投縣,63.0,0.0,61.4,2.5,0.38,11.2,89.25
102年 9月,雲林縣,69.83,0.0,60.0,3.4,0.34,10.4,84.35
102年 9月,嘉義縣,41.06,0.0,65.8,3.2,0.32,9.8,78.9
102年 9月,屏東縣,102.1,0.0,47.4,2.37,0.29,6.07,76.53
102年 9月,臺東縣,0.0,0.0,30.8,1.1,0.27,4.3,37.0
102年 9月,花蓮縣,49.56,0.0,25.8,1.7,0.32,8.0,35.7
102年 9月,澎湖縣,54.86,0.0,47.8,1.8,0.2,3.2,63.7
102年 9月,基隆市,27.91,0.0,24.6,1.4,0.23,5.8,41.2
102年 9月,新竹市,98.21,0.0,41.3,2.9,0.33,13.0,63.7
102年 9月,嘉義市,79.79,0.0,56.9,2.7,0.4,11.2,78.1
102年 9月,金門縣,0.0,0.0,68.5,5.4,0.27,7.7,65.2
102年 9月,連江縣,0.0,0.0,40.9,3.1,0.17,2.8,60.6
102年 10月,新北市,74.29,0.0,49.9,2.4,0.35,12.62,54.11
102年 10月,臺北市,41.28,0.0,49.0,2.26,0.44,17.66,48.66
102年 10月,桃園市,96.29,0.0,51.6,3.1,0.32,12.95,56.53
102年 10月,臺中市,88.59,0.0,54.9,2.72,0.36,13.68,75.78
102年 10月,臺南市,166.11,0.0,99.6,3.95,0.38,14.2,85.6
102年 10月,高雄市,119.0,0.0,83.3,5.3,0.43,16.98,86.08
102年 10月,宜蘭縣,73.57,0.0,40.2,2.1,0.26,7.3,51.4
102年 10月,新竹縣,65.18,0.0,43.2,3.25,0.26,8.4,55.85
102年 10月,苗栗縣,68.34,0.0,47.5,2.5,0.29,10.0,64.9
102年 10月,彰化縣,65.46,0.0,66.9,3.95,0.36,13.35,70.25
102年 10月,南投縣,91.12,0.0,69.5,2.55,0.41,14.55,88.7
102年 10月,雲林縣,135.85,0.0,86.8,3.65,0.35,12.2,80.45
102年 10月,嘉義縣,130.19,0.0,103.6,3.2,0.31,10.3,81.25
102年 10月,屏東縣,86.41,0.0,69.7,2.67,0.32,7.77,80.57
102年 10月,臺東縣,44.0,0.0,53.6,1.4,0.3,4.3,51.4
102年 10月,花蓮縣,51.4,0.0,36.9,1.6,0.35,9.2,47.9
102年 10月,澎湖縣,60.0,0.0,53.3,1.7,0.21,3.0,66.6
102年 10月,基隆市,105.09,0.0,37.1,1.8,0.26,7.0,57.4
102年 10月,新竹市,93.2,0.0,48.1,2.9,0.3,12.3,63.5
102年 10月,嘉義市,111.31,0.0,88.0,4.0,0.46,16.6,84.3
102年 10月,金門縣,0.0,0.0,86.4,5.7,0.31,9.4,80.7
102年 10月,連江縣,0.0,0.0,61.1,3.4,0.24,3.9,78.2
102年 11月,新北市,53.01,0.0,51.1,3.4,0.44,14.91,50.94
102年 11月,臺北市,60.86,0.0,57.1,3.16,0.52,20.42,46.54
102年 11月,桃園市,39.6,0.0,64.0,5.43,0.43,16.78,53.1
102年 11月,臺中市,68.02,0.0,70.6,3.62,0.52,19.3,62.0
102年 11月,臺南市,133.4,0.0,109.0,4.35,0.49,18.65,71.2
102年 11月,高雄市,115.89,0.0,99.8,6.18,0.57,22.91,76.16
102年 11月,宜蘭縣,35.78,0.0,42.6,2.65,0.34,9.35,42.2
102年 11月,新竹縣,75.23,0.0,50.8,4.1,0.38,13.15,57.4
102年 11月,苗栗縣,59.15,0.0,56.4,3.25,0.41,14.35,53.9
102年 11月,彰化縣,61.83,0.0,77.6,4.55,0.48,16.9,59.05
102年 11月,南投縣,125.09,0.0,85.7,3.25,0.54,19.75,74.9
102年 11月,雲林縣,95.97,0.0,92.6,4.4,0.48,16.2,67.55
102年 11月,嘉義縣,94.25,0.0,107.6,3.65,0.4,13.1,66.35
102年 11月,屏東縣,131.14,0.0,77.9,3.5,0.41,10.5,73.07
102年 11月,臺東縣,73.0,0.0,35.4,1.6,0.37,5.9,40.8
102年 11月,花蓮縣,52.39,0.0,36.6,2.2,0.43,10.9,40.7
102年 11月,澎湖縣,82.67,0.0,65.1,2.2,0.28,3.5,59.5
102年 11月,基隆市,48.73,0.0,38.9,2.5,0.4,10.2,49.9
102年 11月,新竹市,71.09,0.0,56.4,4.3,0.45,17.3,56.8
102年 11月,嘉義市,132.56,0.0,102.2,4.8,0.61,22.5,70.5
102年 11月,金門縣,0.0,0.0,92.7,6.9,0.41,12.2,63.1
102年 11月,連江縣,0.0,0.0,74.6,4.7,0.33,6.1,65.7
102年 12月,新北市,51.93,0.0,50.0,3.83,0.51,18.23,44.22
102年 12月,臺北市,78.46,0.0,54.9,3.68,0.6,24.76,39.26
102年 12月,桃園市,56.73,0.0,58.0,5.5,0.46,18.35,44.18
102年 12月,臺中市,68.8,0.0,51.8,3.52,0.51,18.74,43.72
102年 12月,臺南市,101.49,0.0,91.6,4.6,0.52,20.4,55.13
102年 12月,高雄市,90.6,0.0,92.4,6.45,0.64,26.74,62.91
102年 12月,宜蘭縣,26.9,0.0,38.8,2.75,0.39,10.75,43.8
102年 12月,新竹縣,44.33,0.0,45.9,4.15,0.4,13.35,47.4
102年 12月,苗栗縣,76.61,0.0,46.6,3.4,0.43,14.95,42.25
102年 12月,彰化縣,67.1,0.0,66.5,4.6,0.5,17.65,46.1
102年 12月,南投縣,78.01,0.0,71.8,3.4,0.58,21.4,51.9
