item1,item2,value1,value2,value3,value4,value5,value6,value7
107年 6月,總計,33.93,13.1,32.9,2.75,0.27,9.67,53.89
100年 8月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107年 7月,總計,36.98,12.6,29.7,2.67,0.23,8.20,44.34
107年 8月,總計,28.41,11.7,27.2,2.68,0.28,9.65,49.86
107年 9月,總計,42.71,15.9,37.4,2.61,0.28,9.60,55.58
107年 10月,總計,60.34,20.1,48.1,2.72,0.35,12.12,71.25
107年 10月,基隆市,60.18,12.0,26.4,1.74,0.26,7.65,65.17
107年 10月,新竹市,58.4,19.0,36.6,2.11,0.33,0.0,60.77
107年 10月,嘉義市,91.96,28.6,67.2,4.76,0.45,18.37,83.84
107年 11月,總計,60.36,21.0,44.3,2.76,0.38,13.90,56.56
107年 12月,總計,61.99,19.0,42.7,2.62,0.40,14.31,52.80
108年,總計,43.08,17.3,35.7,2.30,0.35,11.57,54.91
108年 1月,總計,60.85,23.5,48.4,2.43,0.47,15.57,51.92
108年 2月,總計,50.86,21.1,42.4,2.19,0.44,12.87,52.42
108年 3月,總計,52.58,22.7,44.1,2.31,0.44,14.28,59.58
108年 4月,總計,47.51,20.5,38.5,2.49,0.39,12.28,61.04
108年 5月,總計,45.91,16.0,34.7,2.31,0.34,11.31,56.79
108年 6月,總計,28.99,9.7,22.0,2.29,0.28,9.81,44.81
108年 7月,總計,33.92,10.4,22.6,2.22,0.23,8.20,44.47
108年 8月,總計,34.95,11.5,22.8,2.23,0.24,7.86,47.05
108年 9月,總計,38.42,14.7,30.2,2.31,0.28,9.06,58.98
108年 10月,總計,55.53,21.2,42.0,2.33,0.33,10.54,69.70
101年,雲林縣,65.93,0.0,60.4,3.0,0.38,12.75,61.8
108年 9月,桃園市,30.61,12.5,23.8,3.19,0.3,11.56,50.2
108年 9月,臺中市,38.51,16.1,30.4,2.25,0.29,10.29,67.12
108年 11月,總計,64.45,18.7,42.4,2.32,0.33,12.28,62.60
108年 12月,總計,47.82,17.0,34.4,2.24,0.39,14.35,49.18
109年 1月,總計,65.92,20.8,37.2,2.03,0.46,13.78,54.16
109年 2月,總計,56.39,20.8,39.1,2.10,0.40,13.48,55.95
109年 2月,新北市,32.23,15.8,29.0,1.82,0.44,15.06,50.86
109年 2月,臺北市,42.16,15.4,27.2,1.65,0.50,19.19,47.43
109年 2月,桃園市,82.08,19.2,32.6,2.89,0.42,16.53,49.42
109年 2月,臺中市,38.37,22.7,38.9,2.16,0.43,15.84,56.66
109年 2月,臺南市,72.50,27.9,55.1,2.42,0.40,13.94,63.58
109年 2月,高雄市,88.68,27.1,53.5,2.74,0.41,15.49,64.64
109年 2月,宜蘭縣,27.42,11.5,23.5,1.81,0.29,6.68,47.37
109年 2月,新竹縣,25.85,17.9,29.4,1.68,0.32,9.62,56.00
109年 2月,苗栗縣,26.09,17.3,29.3,1.96,0.34,10.10,45.91
109年 2月,彰化縣,78.57,23.9,48.3,2.85,0.43,13.15,50.12
109年 2月,南投縣,42.79,26.6,46.9,1.77,0.41,13.61,68.49
109年 2月,雲林縣,50.14,28.4,58.2,2.04,0.36,11.83,64.09
109年 2月,嘉義縣,84.05,27.0,59.0,2.24,0.36,9.92,60.63
109年 2月,屏東縣,75.45,20.5,41.1,1.87,0.32,11.83,65.68
109年 2月,臺東縣,31.61,8.0,17.2,1.15,0.33,5.26,43.09
109年 2月,花蓮縣,28.52,9.3,19.8,1.19,0.29,6.41,47.55
109年 2月,澎湖縣,...,16.1,36.3,1.59,0.27,2.55,57.96
