Name,Date,TSP,PM10,Chloride,Nitrate,Sulfate,Lead,Dust
大社工業區,2017年11月,94,,,,,0.035,9.49
大寮區公所,2017年11月,95,,,,,0.034,4.14
大樹監測站,2017年11月,87,,,,,0.042,1.59
仁武國中,2017年11月,92,,,,,0.044,3.19
半屏山電信局,2017年11月,126,79,,,,0.035,1.33
左營國小,2017年11月,106,56,,,,0.06,1.64
永安工業區,2017年11月,88,,,,,0.047,3.45
西子灣中山大學,2017年11月,113,63,,,,0.056,1.51
岡山醫院,2017年11月,98,,,,,0.048,4.17
林園工業區,2017年11月,110,,,,,0.075,2.69
河濱國小,2017年11月,118,78,,,,0.062,1.71
阿蓮區公所,2017年11月,67,,,,,0.042,2.15
前鎮國小,2017年11月,96,64,,,,0.041,2.33
莊敬國小,2017年11月,113,90,,,,0.043,1.68
愛國國小,2017年11月,92,53,,,,0.037,0.48
楠梓區清潔隊,2017年11月,93,45,,,,0.012,4.42
路竹地政事務所,2017年11月,81,,,,,0.044,2.4
鼓山圖書分館,2017年11月,113,66,,,,0.059,4.9
衛生局中正辦公室,2017年11月,121,64,,,,0.048,1.85
環保局環境檢驗科,2017年11月,118,65,,,,0.048,3.02
大社工業區,2017年12月,122,,3.24,14.1,10.1,0.061,7.38
大寮區公所,2017年12月,107,,3.12,16.3,12.3,0.073,1.61
大樹監測站,2017年12月,90,,2.17,15.9,6.51,0.038,2.4
仁武國中,2017年12月,109,,3.08,15.4,9.9,0.049,3.64
半屏山電信局,2017年12月,117,61,4.32,17.8,13.9,0.068,1.9
左營國小,2017年12月,99,46,4.26,15,12.1,0.045,2.14
永安工業區,2017年12月,117,,6.58,16.8,13.3,0.063,3.43
西子灣中山大學,2017年12月,90,48,5.02,12,11.6,0.043,2.73
岡山醫院,2017年12月,153,,4.9,16.7,12,0.093,3.05
林園工業區,2017年12月,108,,4.99,18.9,15.3,0.069,2.13
河濱國小,2017年12月,94,59,3.46,11,10,0.04,2.6
阿蓮區公所,2017年12月,97,,3.13,14.3,8.77,0.032,2.34
前鎮國小,2017年12月,113,68,4.73,20.3,15.9,0.051,3.53
莊敬國小,2017年12月,102,75,4.08,17.8,13.5,0.051,2.54
愛國國小,2017年12月,110,58,4.48,18.9,14.4,0.062,2.78
楠梓區清潔隊,2017年12月,115,68,3.34,14.1,12,0.045,4.38
路竹地政事務所,2017年12月,113,,4.5,15.4,12.5,0.049,3
鼓山圖書分館,2017年12月,95,51,3.91,14.8,12.9,0.049,1.42
衛生局中正辦公室,2017年12月,171,48,3.48,11.9,13.7,0.068,5.39
環保局環境檢驗科,2017年12月,126,62,6.04,19.6,17.1,0.063,2.45
,,,,,,,,
